Part Number,Vendor Code,Unit Cost,Location Code,Lead Time (days),Total Usage,Total Incidents,Description
93TP30013,C,0.01,10,40,3,3,1530 PARTS CATALOG
93TP50018,D,0.01,10,120,0,0,NO USAGE
93TP50077-2,D,0.01,10,120,0,0,NO USAGE
93TP50106-4,D,0.01,10,120,0,0,NO USAGE
93TP50158,D,0.01,10,40,0,0,NO USAGE
930000670,B,7.48,5,30,6,4,CYLINDER-PNEUMATIC
930000671,C,1.37,5,28,1,1,ADAPTER
930000685,B,5.16,5,30,16,16,ROD - END
930001209,B,31.46,5,91,4,4,PULLEY
930005632-001,C,43.84,5,120,2,1,FLEX CABLE
930005801,B,21.38,5,30,3,3,COVER - TOP
930007817-000,C,671.32,36,40,4,4,AUGER DRIVE ASSM 60
930010292,B,46.34,36,42,2,2,GUIDE - CONVEYOR
930011311,C,14.95,3,150,2,1,HINGE-FEED TABLE
930011975,C,2.96,3,30,1,1,SPRING
930012317,D,32.22,3,45,1,1,ARM - RETARDED ROLL
930012523,C,6.73,5,63,1,1,BLOCK - SUPPORT
930013424,B,22.5,3,150,4,4,GEAR - MAIN DRIVE RO
930013431,C,105.3,3,30,3,2,PLATE-FOLD
930026307,B,98,3,30,6,6,BELT-STACKER
93003003M,C,42.21,12,30,2,2,27 TOOTH GEAR
93003272M,B,108.92,12,30,7,7,MAIN ROLL RUBBER
93003336M,B,58.18,12,113,3,2,BEARING ARM
93004306M,B,36.88,12,113,2,2,RIGHT PAPER GUIDE
930052775,B,8.05,5,154,6,5,SHAFT ASSY-ROLLER
9.30101E+11,A,0.12,11,40,168,13,SCREW - 6-32 X 1/4
9.3026E+11,A,0.1,11,60,342,3,FORK CONNECTORS TERM
9.30272E+11,C,15.41,11,40,2,2,CA 18 STACKER CABLE
9.3029E+11,B,77.88,11,120,10,10,DC POWER SUPPLY
9.3029E+11,B,29.76,11,120,5,3,STAND MONITOR
9.30501E+11,D,17.86,11,45,1,1,PULLEY - GEAR BELT M
930502221,D,23.88,5,210,1,1,GUIDE-FINGER LIFT
930503049,B,0.38,5,150,24,12,RING-0 1.975X.210W
930503128,C,7.26,5,49,1,1,STOP-ROLLER ARM
930503153,C,6.99,5,49,2,2,ROLLER-FRONT
930503636,C,2.34,50,120,1,1,COLLAR CLUTCH BACKUP
930506303,C,2.9,5,49,12,3,PIN-STACKER STOP
930509636,C,3.09,5,98,1,1,SHAFT-T.O.DR
930509641,B,6.61,5,84,5,4,SHAFT-FOLL(TOP SUCKE
930516459,A,112.6,5,90,82,77,MOTOR - DC 1/4 HP 90
930519002,D,5.08,5,56,1,1,FINGER-DET
930525479,C,29.53,5,91,1,1,GUARD - COVER
930526629,C,12.45,5,84,1,1,SHAFT-TENSIONER
930526690,C,27.98,5,70,1,1,PULLEY-ROLLER DR 3/8
930527011,B,8.03,5,133,14,7,LEVER-DROP ROLL SHAF
930527239,C,2.13,5,49,5,3,HOLDER-DROP WHEEL
930530671,A,6.64,50,75,171,111,VALVE - RELIEF
9.30531E+11,B,19.6,11,30,8,7,SHAFT
930536627,A,3.1,50,56,70,19,MOUNT - CONTACT
930542611,C,2.57,5,91,1,1,STUD-IDLER SPRKT
