,Part Number,Vendor Code,Unit Cost,Location Code,Lead Time (days),Total Usage,Total Incidents,Description,Purchase Volume,Daily Demand,theta,r,mil,Q,Order Frequency,Order Interval,Service Level,Fill Rate,Backorder Level,Inventory Level,I Investment,Implied A/i_h,Implied C_s/i_h
25,930502531,D,8.91,5,120,0.5,0,NO USAGE,4.455,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,7.55939136624,8.91,49.8694998605
26,930502874,D,6.57,5,120,0.5,0,NO USAGE,3.285,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,5.57409666399,6.57,36.7724594931
27,930502982,D,21.08,5,133,0.5,0,NO USAGE,10.54,0.0013698630137,0.182191780822,0.0,1.0,1.0,0.5,730.0,0.833441486994,0.833441486994,0.0156332678163,0.833441486994,17.5689465458,21.08,105.482128946
28,930503024,C,2.05,5,112,1.0,1,PULLEY-TMG 12XL037 .,2.05,0.0027397260274,0.306849315068,0.0,1.0,1.0,1.0,365.0,0.73576146072,0.73576146072,0.0426107757884,0.73576146072,1.50831099448,1.025,5.70814158519
29,930504889,B,0.52,5,49,12.0,2,CAP-.150 MFD 50V,6.24,0.0328767123288,1.61095890411,5.0,8.0,3.0,4.0,91.25,0.993764110951,0.997367855482,0.000700945966552,5.38974204186,2.80266586177,0.195,82.8682700439
30,930509405,B,0.56,5,91,36.0,36,ROD,20.16,0.0986301369863,8.97534246575,15.0,24.0,9.0,4.0,91.25,0.978439527835,0.995373668881,0.00402620542787,11.0286837397,6.17606289422,0.63,25.4134571541
31,930515146,C,1.44,5,84,1.0,1,BAR-SUCKER SHAFT,1.44,0.0027397260274,0.230136986301,0.0,1.0,1.0,1.0,365.0,0.794424769738,0.794424769738,0.0245617560397,0.794424769738,1.14397166842,0.72,5.56473494869
32,930527433,D,8.32,5,30,0.5,0,NO USAGE,4.16,0.0013698630137,0.041095890411,0.0,1.0,1.0,0.5,730.0,0.959737095951,0.959737095951,0.000832986361696,0.959737095951,7.98501263831,8.32,198.321825682
33,930527463,D,5.59,5,91,1.0,1,PLATE-BED,5.59,0.0027397260274,0.249315068493,0.0,1.0,1.0,1.0,365.0,0.779334390987,0.779334390987,0.02864945948,0.779334390987,4.35647924562,2.795,19.7424477022
34,930527815,C,5.59,5,84,1.0,1,SHAFT-DROP ROLL,5.59,0.0027397260274,0.230136986301,0.0,1.0,1.0,1.0,365.0,0.794424769738,0.794424769738,0.0245617560397,0.794424769738,4.44083446284,2.795,21.6019919189
35,9.30531E+11,C,23.95,11,40,0.5,0,NO USAGE,11.975,0.0013698630137,0.0547945205479,0.0,1.0,1.0,0.5,730.0,0.946679651186,0.946679651186,0.00147417173353,0.946679651186,22.6729776459,23.95,425.221855259
36,930534200,C,1.45,50,49,3.0,2,ROLLER-FOLL,4.35,0.00821917808219,0.402739726027,1.0,3.0,2.0,1.5,243.333333333,0.937711961365,0.964818952178,0.00490072509511,2.10216099907,3.04813344865,0.966666666667,21.8289478006
37,930538851,A,2.96,5,105,537.0,81,INDICATOR - LIGHT (R,1589.52,1.47123287671,154.479452055,179.0,269.0,90.0,5.96666666667,61.1731843575,0.975876629667,0.998533191794,0.00600588113953,70.0265538263,207.278599326,22.3240223464,119.742589196
38,9.3054E+11,D,0.95,11,45,0.5,0,NO USAGE,0.475,0.0013698630137,0.0616438356164,0.0,1.0,1.0,0.5,730.0,0.940217699221,0.940217699221,0.00186153483711,0.940217699221,0.89320681426,0.95,14.9409909391
39,930541530,D,26.9,5,49,0.5,0,NO USAGE,13.45,0.0013698630137,0.0671232876712,0.0,1.0,1.0,0.5,730.0,0.935079910405,0.935079910405,0.00220319807661,0.935079910405,25.1536495899,26.9,387.45555878
40,930546683,A,1.2,5,77,119.0,64,PIN - SPRING,142.8,0.32602739726,25.104109589,39.0,60.0,21.0,5.66666666667,64.4117647059,0.996314954216,0.999584702464,0.000536363102639,24.8964267741,29.8757121289,2.22352941176,324.440458886
41,930550262,A,0.8,5,119,50.0,11,NUT - MODIFIED,40.0,0.13698630137,16.301369863,16.0,25.0,9.0,5.55555555556,65.7,0.536089251012,0.809314649778,0.43693706517,5.13556720216,4.10845376172,0.648,0.924469635044
42,930550327,C,37.9,5,150,3.0,2,WING-SUCKER BAR,113.7,0.00821917808219,1.23287671233,1.0,3.0,2.0,1.5,243.333333333,0.650778492045,0.761529517038,0.111248419679,1.37837170735,52.2402877086,25.2666666667,70.6271071129
43,930553141,A,1.0,5,45,699.0,257,ROLLER - W/ BOSS,699.0,1.91506849315,86.1780821918,233.0,350.0,117.0,5.97435897436,61.0944206009,0.9999,1.0,1.53225474395e-41,205.821917808,205.821917808,9.79184549356,9999.0
44,930553144,A,1.07,5,49,57.0,25,NUT - CAM FOLLOWER,60.99,0.156164383562,7.65205479452,19.0,29.0,10.0,5.7,64.0350877193,0.999856374455,0.999977964325,1.14138413547e-05,16.8479566193,18.0273135827,0.938596491228,7448.8581991
45,930553790,B,0.29,5,91,11.0,8,HOOK-SPRING (RH JAW),3.19,0.0301369863014,2.74246575342,4.0,8.0,4.0,2.75,132.727272727,0.856524293255,0.941734806179,0.0344116704038,3.79194591698,1.09966431592,0.210909090909,1.73124810241
46,930564719,C,25.31,5,91,1.0,1,FORK-CAM LEVER,25.31,0.0027397260274,0.249315068493,0.0,1.0,1.0,1.0,365.0,0.779334390987,0.779334390987,0.02864945948,0.779334390987,19.7249534359,12.655,89.388434945
47,930567691,C,10.17,5,70,2.0,1,GIB-FLAP SEALER SLID,20.34,0.00547945205479,0.383561643836,0.0,2.0,2.0,1.0,365.0,0.681430070791,0.812115289847,0.0363919690775,1.15283032524,11.7242844077,10.17,21.7539170666
48,930590017,D,148.2,5,91,0.5,0,NO USAGE,74.1,0.0013698630137,0.124657534247,0.0,1.0,1.0,0.5,730.0,0.882799179308,0.882799179308,0.00745671355457,0.882799179308,130.830838373,148.2,1116.29626483
49,930594444,C,3.88,5,91,0.5,0,NO USAGE,1.94,0.0013698630137,0.124657534247,0.0,1.0,1.0,0.5,730.0,0.882799179308,0.882799179308,0.00745671355457,0.882799179308,3.42526081572,3.88,29.2255702263
50,930594631,B,42.75,5,150,7.0,6,PLATE-REAR CONY,299.25,0.0191780821918,2.87671232877,2.0,5.0,3.0,2.33333333333,156.428571429,0.451370729183,0.653912293223,0.331136250671,1.4544239219,62.1766226614,27.4821428571,35.1714713359
51,930594772,C,11.09,5,84,1.0,1,SHAFT-CONVEYOR RH,11.09,0.0027397260274,0.230136986301,0.0,1.0,1.0,1.0,365.0,0.794424769738,0.794424769738,0.0245617560397,0.794424769738,8.8101706964,5.545,42.8561879035
52,930594835,D,5.9,5,49,1.0,1,PLATE - TIE,5.9,0.0027397260274,0.134246575342,0.0,1.0,1.0,1.0,365.0,0.874374438844,0.874374438844,0.00862101418619,0.874374438844,5.15880918918,2.95,41.0649643408
53,930594887,C,5.36,5,56,1.0,1,BAR-UPPER JAW,5.36,0.0027397260274,0.153424657534,0.0,1.0,1.0,1.0,365.0,0.857765387924,0.857765387924,0.011190045458,0.857765387924,4.59762247927,2.68,32.3242170957
54,930596014,D,4.0,5,49,0.5,0,NO USAGE,2.0,0.0013698630137,0.0671232876712,0.0,1.0,1.0,0.5,730.0,0.935079910405,0.935079910405,0.00220319807661,0.935079910405,3.74031964162,4.0,57.614209484
55,930597425,D,1.33,5,77,0.5,0,NO USAGE,0.665,0.0013698630137,0.105479452055,0.0,1.0,1.0,0.5,730.0,0.899892963608,0.899892963608,0.00537241566291,0.899892963608,1.1968576416,1.33,11.9557793811
56,930598647,B,12.0,5,21,29.0,29,ASSY - BRUSH,348.0,0.0794520547945,1.66849315068,12.0,20.0,8.0,3.625,100.689655172,0.9999,0.999999996225,4.96177624506e-10,14.8315068498,177.978082198,13.2413793103,119988.0
57,930599173,A,27.21,50,30,37.0,15,COUPLING - DR SHAFT,1006.77,0.101369863014,3.04109589041,15.0,25.0,10.0,3.7,98.6486486486,0.9999,0.999999982007,3.76317137707e-09,17.4589041134,475.056780924,36.7702702703,272072.79
58,9.3071E+11,C,2.18,11,40,1.0,1,BELT - APACHE 1X 22,2.18,0.0027397260274,0.109589041096,0.0,1.0,1.0,1.0,365.0,0.896202361969,0.896202361969,0.00579140306476,0.896202361969,1.95372114909,1.09,18.822404692
59,930750125,D,7.52,9,120,0.5,0,NO USAGE,3.76,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,6.38009237644,7.52,42.0896340013
60,930810277000P,D,63.12,11,120,0.5,0,NO USAGE,31.56,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,53.5520519682,63.12,353.284268372
61,9.3081E+11,D,9.28,11,120,0.5,0,NO USAGE,4.64,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,7.87330548582,9.28,51.9403994058
62,9311153645,D,380.4,16,30,0.5,0,NO USAGE,190.2,0.0013698630137,0.041095890411,0.0,1.0,1.0,0.5,730.0,0.959737095951,0.959737095951,0.000832986361696,0.959737095951,365.0839913,380.4,9067.50270306
63,9311170742,C,46.24,16,30,0.5,1,BELT,23.12,0.0013698630137,0.041095890411,0.0,1.0,1.0,0.5,730.0,0.959737095951,0.959737095951,0.000832986361696,0.959737095951,44.3782433168,46.24,1102.21168504
64,9320454420,D,3.27,15,150,0.5,0,NO USAGE,1.635,0.0013698630137,0.205479452055,0.0,1.0,1.0,0.5,730.0,0.8142568257,0.8142568257,0.0197362777547,0.8142568257,2.66261982004,3.27,14.3349537881
65,9320454460,D,1.8,15,150,0.5,0,NO USAGE,0.9,0.0013698630137,0.205479452055,0.0,1.0,1.0,0.5,730.0,0.8142568257,0.8142568257,0.0197362777547,0.8142568257,1.46566228626,1.8,7.89080025031
66,9320454461,D,9.97,15,120,0.5,0,NO USAGE,4.985,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,8.45871289802,9.97,55.8023472065
67,932950106,D,2.5,6,120,0.5,0,NO USAGE,1.25,0.0013698630137,0.164383561644,0.0,1.0,1.0,0.5,730.0,0.84841653942,0.84841653942,0.0128001010642,0.84841653942,2.12104134855,2.5,13.9925644951
68,934501136,D,45.0,6,150,0.5,0,NO USAGE,22.5,0.0013698630137,0.205479452055,0.0,1.0,1.0,0.5,730.0,0.8142568257,0.8142568257,0.0197362777547,0.8142568257,36.6415571565,45.0,197.270006258
